# CSV-File created with merge-csv.com,,,,,,,,
# -----------------------------------------------------------,,,,,,,,
,,,,,,,,
Unit,Rank,Title,Channel,Playlist ID,Sentiment Score,Like/View Ratio,Recency (days),Overall Score
Current Electricity,1,Current Electricity,Eduniti - Physics by Mohit Goenka_IITKGP,PLjvx7xqdpePJJNDrvHyZEdwu2uGohWaCU,0.225478042,0.041656765,1.865753425,-0.086829645
Current Electricity,2,JEE 2023: Current Electricity | Class 12 | Unacademy JEE | Jayant Nagda,Unacademy JEE,PLbu_fGT0MPssVWyRKnWhtgKdOzrV5E23G,0.162631579,0.034211225,1.701369863,-0.096110321
Current Electricity,3,Current Electricity [Path Finder 12th] - Playlist | JEE 2022 | JEE Physics | Shreyas Sir | Vedantu JEE Enthuse English,Vedantu JEE English,PL24P3-cdGKKs3B6gqeMv-M2vXmnveZ6BI,0.214037184,0.03073322,2.761643836,-0.185884759
Current Electricity,4,JEE | Current Electricity - Playlist | Class 12 | Unacademy JEE | JEE LIVE DAILY 3.0 | IIT JEE Physics | Jayant Sir,Unacademy JEE,PLbu_fGT0MPsux0L6EqJbf9LLgW_ZFOrGE,0.185846692,0.033911639,2.75890411,-0.193888249
Current Electricity,5,12 chap 3 I Current Electricity JEE/NEET,Physics Wallah - Alakh Pandey,PLF_7kfnwLFCFZ4OVmzjBSqMIAzDK_6b8f,0.180845206,0.026782692,4.767123288,-0.400025161
Electromagnetic Induction and Alternating Currents,1,Electromagnetic Induction,Eduniti - Physics by Mohit Goenka_IITKGP,PLjvx7xqdpePKLweoAM4zkoZs02Ss6YKMR,0.217354938,0.039291701,1.865753425,-0.090855264
Electromagnetic Induction and Alternating Currents,2,JEE | ElectroMagnetic Induction - Playlist | Class 12 | Unacademy JEE | JEE LIVE DAILY 3.0 | IIT JEE Physics | Jayant Nagda,Unacademy JEE,PLbu_fGT0MPss8qMczR0pMtqkBZFEP41uB,0.21311985,0.036227264,2.6,-0.16729442
Electromagnetic Induction and Alternating Currents,3,Jee Advanced Electromagnetic Induction,Physics For IIT JEE by Rohit Mishra,PLxb0SzPSaqZ72yyiW7WWCjF8uvTsVxsH9,0.259260714,0.019071504,3.504109589,-0.250133957
Electromagnetic Induction and Alternating Currents,4,"Advanced Problems : Magnetism , Electromagnetic induction &amp; Alternating Current for IIT JEE Advanced &amp; Olympiads",Physics with Akash Goyal (PWAG),PLb2lQ33Kj042Z0Uq4MM3XFR4EXTG5qok1,0.306306964,0.044461065,4.928767123,-0.363438742
Electromagnetic Induction and Alternating Currents,5,12 chap 6 : ElectroMagnetic Induction EMI JEE/NEET,Physics Wallah - Alakh Pandey,PLF_7kfnwLFCE6mi_so22MJJ988uaHBJaQ,0.193687007,0.026083643,4.57260274,-0.376428
Electromagnetic Waves,1,All About Electromagnetic Waves | Crack JEE Physics | How to Prepare for JEE Main Physics | Class 12 Physics | Chapter 8 | Physics Lectures,Aakash BYJU'S JEE,PLDnXxcwgchDN2eX-EpaAGVunWwIy7emb3,0.10054375,0.031859007,1.775342466,-0.126414431
Electromagnetic Waves,2,Electromagnetic waves class 12- Physics wallah,Kumar ꪜ,PLrkrDp-k2CDQXPDlxMuwf8xcY2BAPVH9j,0.213047857,0.032172786,3.304109589,-0.239757816
Electromagnetic Waves,3,Electromagnetic Waves 2019 JEE Main solutions,JEE NEET Physics Kota,PLk5kuyX3xzdYk-tFyOfAT2qhTF_glAuy1,0.297490909,0.025217391,4.126027397,-0.295872226
Electromagnetic Waves,4,Electromagnetic Waves | JEE Main Physics Solutions 2002-2019,Physics Galaxy,PLYVDsiuOZP5occxPZfpBWcvfJFOJpI8Is,0.209765803,0.017607098,5.284931507,-0.44627157
Electromagnetic Waves,5,Class 12th Electromagnetic Waves - Magnetic Effects,Physics Galaxy,PLYVDsiuOZP5ro6oNQNgb4lEiYUQf6O5ix,0.18385022,0.016506816,6.435616438,-0.570960659
Electrostatics,1,Electrostatics,Eduniti - Physics by Mohit Goenka_IITKGP,PLjvx7xqdpePL-IQ8QCmk5BpycShF0RaKO,0.212999013,0.038863005,1.865753425,-0.092594185
Electrostatics,2,JEE 2023: Electrostatics | Class 12 | IIT JEE Physics | Unacademy JEE | Jayant Nagda,Unacademy JEE,PLbu_fGT0MPsvs71pnFjRbDe8g_PnihRaW,0.186601033,0.031825306,1.879452055,-0.106722191
Electrostatics,3,Electrostatics⚡ [Path Finder 12th] - Playlist | JEE 2022 | JEE Physics | Shreyas Sir | Vedantu JEE Enthuse English,Vedantu JEE English,PL24P3-cdGKKvx8rhua2MWFLJZvbe6RQ2O,0.229174909,0.02927096,2.857534247,-0.190906727
Electrostatics,4,JEE | Electrostatics - Playlist | Class 12 | Unacademy JEE | JEE LIVE DAILY 3.0 | IIT JEE Physics | Jayant Sir,Unacademy JEE,PLbu_fGT0MPsu_H1p1UdlJYgSff-chZZEZ,0.16651812,0.031977092,2.879452055,-0.213675317
Electrostatics,5,12 chapter 1 II Electri charges and Fields JEE MAINS/NEET,Physics Wallah - Alakh Pandey,PLF_7kfnwLFCHjzvhflQjAOG97MgutH3Z5,0.189432578,0.022671884,4.942465753,-0.416609231
Gravitation,1,Gravitation,Eduniti - Physics by Mohit Goenka_IITKGP,PLjvx7xqdpePJBciKC3lFr_d00mDQceq8s,0.220321558,0.041865549,1.865753425,-0.088530023
Gravitation,2,JEE: Gravitation - Playlist | Class 11 | Unacademy JEE | LIVE DAILY 3.0 | IIT JEE Physics | Namo Kaul,Unacademy JEE,PLbu_fGT0MPst3uOq5Dd55CAEF0fjMajnB,0.136040695,0.03636563,2.402739726,-0.174476915
Gravitation,3,JEE | Gravitation - Playlist | Class 11 | Unacademy JEE | JEE LIVE DAILY 2.0 | IIT JEE Physics | Namo Kaul,Unacademy JEE,PLbu_fGT0MPstWq9gKwWhVQAva0xO1sfJP,0.19021277,0.043095047,3.238356164,-0.235713623
Gravitation,4,Gravitation Class 11 - Playlist | JEE Mains &amp; Advanced,Mohit Tyagi,PL_A4M5IAkMaeGEjLX2pJU-qqnPcyjpBiV,0.171203239,0.027240478,3.482191781,-0.274677805
Gravitation,5,11 Gravitation,Physics Wallah - Alakh Pandey,PLF_7kfnwLFCEwyxzG-rg2uYeYA2q1S2d8,0.180642731,0.024938083,5.38630137,-0.46293614
Kinematics,1,KINEMATICS 1D | JEE 2024 | Class 11 | Unacademy JEE | Namo Kaul,Unacademy JEE,PLbu_fGT0MPsvB9xBGNtJX-9bIMc-T0lIk,0.254811376,0.035577221,1.621917808,-0.055219189
Kinematics,2,Kinematics 1D and 2D,Eduniti - Physics by Mohit Goenka_IITKGP,PLjvx7xqdpePLItW_yyRSUfrzSqA5ezpqL,0.20397821,0.038995137,1.865753425,-0.095685401
Kinematics,3,1D Kinematics JEE [Nurture] - Playlist | Class 11 Physics | JEE 2023 | Shreyas Sir | Vedantu JEE Enthuse English,Vedantu JEE English,PL24P3-cdGKKtbQL3ui7duZlbLCy87sZgp,0.281286498,0.029564792,2.682191781,-0.154986508
Kinematics,4,JEE: Kinematics 1D - Playlist | Class 11 | Unacademy JEE | LIVE DAILY 3.0 | IIT JEE Physics | Namo Kaul,Unacademy JEE,PLbu_fGT0MPsszwpe-FcVigATfMnqL6PlC,0.140402975,0.028563325,2.794520548,-0.216029351
Kinematics,5,11th KINEMATICS : Motion in a Straight line,Physics Wallah - Alakh Pandey,PLF_7kfnwLFCHamOEHrFDSVoI6wszQQheq,0.186236263,0.024801375,5.791780822,-0.501594703
Kinematics,1,KINEMATICS 1D | JEE 2024 | Class 11 | Unacademy JEE | Namo Kaul,Unacademy JEE,PLbu_fGT0MPsvB9xBGNtJX-9bIMc-T0lIk,0.254811376,0.035577221,1.621917808,-0.055219189
Kinematics,2,Kinematics 1D and 2D,Eduniti - Physics by Mohit Goenka_IITKGP,PLjvx7xqdpePLItW_yyRSUfrzSqA5ezpqL,0.20397821,0.038995137,1.865753425,-0.095685401
Kinematics,3,1D Kinematics JEE [Nurture] - Playlist | Class 11 Physics | JEE 2023 | Shreyas Sir | Vedantu JEE Enthuse English,Vedantu JEE English,PL24P3-cdGKKtbQL3ui7duZlbLCy87sZgp,0.281286498,0.029564792,2.682191781,-0.154986508
Kinematics,4,JEE: Kinematics 1D - Playlist | Class 11 | Unacademy JEE | LIVE DAILY 3.0 | IIT JEE Physics | Namo Kaul,Unacademy JEE,PLbu_fGT0MPsszwpe-FcVigATfMnqL6PlC,0.140402975,0.028563325,2.794520548,-0.216029351
Kinematics,5,11th KINEMATICS : Motion in a Straight line,Physics Wallah - Alakh Pandey,PLF_7kfnwLFCHamOEHrFDSVoI6wszQQheq,0.186236263,0.024801375,5.791780822,-0.501594703
Kinetic Theory of Gases,1,Physics-Thermodynamics-Kinetic Theory of Gases-Solutions of JEE Advance Previous Year Questions,crack IIT,PLB85_aTK7vz0GQn-XhfhTpiiem5QjmBYM,0.68715,0.039795918,2.753424658,-0.014942007
Kinetic Theory of Gases,2,KTG &amp; Thermodynamics,Eduniti - Physics by Mohit Goenka_IITKGP,PLjvx7xqdpePL4PBaaFvkMbALzJP3DPFQM,0.243584955,0.045830747,1.865753425,-0.078405235
Kinetic Theory of Gases,3,PHYSICS KINETIC THEORY OF GASES by PHYSICS WALLAH,Shobha Deshpande,PLWyo83LGgCHrCQrXuyMcOA72jQ0aawD32,0.14320451,0.024864527,4.115068493,-0.348953008
Kinetic Theory of Gases,4,Kinetic Theory of Gases | JEE Main Physics Solutions 2002-2019,Physics Galaxy,PLYVDsiuOZP5rSLMBo_Y5H-JyduJ8DrtEX,0.217447097,0.01904995,5.520547945,-0.466423336
Kinetic Theory of Gases,5,Class 11th Kinetic Theory of Gases - Heat and Thermodynamics,Physics Galaxy,PLYVDsiuOZP5oHr3ad8oorBy2CP-B0ru4Z,0.185414607,0.011590203,10.63287671,-0.992597458
Magnetic Effects of Current and Magnetism,1,Onion Physics - Magnetic Effects of Current,Onion Galaxy,PLKa_ItsQ-6bt_XmjFZIeAgoTOyhALixvW,0.229054673,0.038021385,0.449315068,0.054248321
Magnetic Effects of Current and Magnetism,2,"Moving Charges, MEC and Magnetism",Eduniti - Physics by Mohit Goenka_IITKGP,PLjvx7xqdpePL2mwAZqflTLYlAbvdLA8J4,0.206692667,0.040425265,1.865753425,-0.094020277
Magnetic Effects of Current and Magnetism,3,Magnetic Sources and Effects JEE [Path Finder 12th] - Playlist | JEE 2022 | JEE Physics | Shreyas Sir | Vedantu JEE Enthuse English,Vedantu JEE English,PL24P3-cdGKKt3B52jPccBrEvNmVk5GZbX,0.1966125,0.030430911,2.643835616,-0.180353731
Magnetic Effects of Current and Magnetism,4,Magnetic effect of current| Magnetism,Mohit Tyagi,PL_A4M5IAkMacf--9QU-ep-YmRHc3e2_6v,0.177520683,0.02981847,3.339726027,-0.256931129
Magnetic Effects of Current and Magnetism,5,12 chap 4 I Moving Charges and Magnetism JEE MAINS/NEET,Physics Wallah - Alakh Pandey,PLF_7kfnwLFCF8sjVSdxn3yWAghIgVnw26,0.183654995,0.025667731,4.709589041,-0.39384579
Oscillations and Waves,1,JEE: Simple Harmonic Motion - Playlist | Class 11 | Unacademy JEE | LIVE DAILY 3.0 | IIT JEE Physics | Namo Kaul,Unacademy JEE,PLbu_fGT0MPstKfbtCysXQqi-G1gkwR0oM,0.183548758,0.02655553,2.298630137,-0.152343183
Oscillations and Waves,2,JEE Physics Unit 10 - Oscillations and Waves and NEET Unit X - Oscillations and Waves,Flipping Physics,PLPyapQSxH6mY-fUOkQ60QMMG8bcMRlh_5,0.43105,0.015428757,5.575342466,-0.398952368
Oscillations and Waves,3,11 Oscillations : SHM,Physics Wallah - Alakh Pandey,PLF_7kfnwLFCEvhpUaPoDQvhPwug0aZ1R4,0.160963971,0.026013426,5.131506849,-0.443806582
Oscillations and Waves,4,"11th Class Physics :Mechanics, Heat, Oscillations and Waves By Prof. V. Balakrishnan",Quantum AI,PLq-Gm0yRYwThKeMSP_ii5klqDYvta4HQI,0.303225362,0.008577452,8.049315068,-0.694513904
Oscillations and Waves,5,Class 11th Simple Harmonic Motion - Oscillation and Waves,Physics Galaxy,PLYVDsiuOZP5qDdR5Tf1M3iwkvBBFubwq_,0.204370949,0.010780562,10.61917808,-0.984997695
Physics and Measurement,1,"Units, Dimension, Errors and Vectors",Eduniti - Physics by Mohit Goenka_IITKGP,PLjvx7xqdpePJ2frgR0Q6FwVllpWUxUo_Y,0.2272046,0.03545893,1.865753425,-0.089324267
Physics and Measurement,2,All About Units and Measurements | Crack JEE Physics | How to Prepare for JEE Main Physics | Class 11 Physics | Chapter 2 | Physics Lectures,Aakash BYJU'S JEE,PLDnXxcwgchDOfYiZxjdryhrDSXi-VjNiB,0.181663366,0.024606287,1.77260274,-0.101374952
Physics and Measurement,3,Alpha 11 Chap 2 : Units and Measurements,Physics Wallah - Alakh Pandey,PLF_7kfnwLFCFFKkWI8iRKE2RW7-orWJ2N,0.173255294,0.027008315,3.783561644,-0.304212654
Physics and Measurement,4,Jee physics,PRASHANT KUMAR,PLleMhc2M61N8yoHKTPH-p9iSjTXmlrlpR,0.262383745,0.031620012,4.567123288,-0.349068012
Physics and Measurement,5,Units and Measurements - Playlist | Class 11 | JEE Physics | Abhishek Sir | Vedantu JEE,Vedantu JEE,PLCtUyOrCJbxw3M4uIoWk08DPnJR6fTvKb,0.207180456,0.026843478,4.671232877,-0.381188389
Physics and Measurement,1,"Units, Dimension, Errors and Vectors",Eduniti - Physics by Mohit Goenka_IITKGP,PLjvx7xqdpePJ2frgR0Q6FwVllpWUxUo_Y,0.2272046,0.03545893,1.865753425,-0.089324267
Physics and Measurement,2,All About Units and Measurements | Crack JEE Physics | How to Prepare for JEE Main Physics | Class 11 Physics | Chapter 2 | Physics Lectures,Aakash BYJU'S JEE,PLDnXxcwgchDOfYiZxjdryhrDSXi-VjNiB,0.181663366,0.024606287,1.77260274,-0.101374952
Physics and Measurement,3,Alpha 11 Chap 2 : Units and Measurements,Physics Wallah - Alakh Pandey,PLF_7kfnwLFCFFKkWI8iRKE2RW7-orWJ2N,0.173255294,0.027008315,3.783561644,-0.304212654
Physics and Measurement,4,Jee physics,PRASHANT KUMAR,PLleMhc2M61N8yoHKTPH-p9iSjTXmlrlpR,0.262383745,0.031620012,4.567123288,-0.349068012
Physics and Measurement,5,Units and Measurements - Playlist | Class 11 | JEE Physics | Abhishek Sir | Vedantu JEE,Vedantu JEE,PLCtUyOrCJbxw3M4uIoWk08DPnJR6fTvKb,0.207180456,0.026843478,4.671232877,-0.381188389
Properties of Solids and Liquids,1,Mechanical Properties of Matter by ABJ sir,sunday,PLno9Nk5f6CTK_A-mUhMKPXfsv-B_0SoZJ,0.167988162,0.031205135,0.961643836,-0.021765959
Properties of Solids and Liquids,2,Properties of Solids,Eduniti - Physics by Mohit Goenka_IITKGP,PLjvx7xqdpePL5iNvM26ZGPhVQJyHKBokr,0.182557581,0.044333934,1.865753425,-0.100513222
Properties of Solids and Liquids,3,Unacademy,Aryan,PLaXsCzLVC0oHr6lAc1uuoNBcEjh-KzKwE,0.164881936,0.0382649,3.082191781,-0.23137805
Properties of Solids and Liquids,4,Class 11 ch mechanical properties of solid,Tech Detect,PLXUcuCHnGjCpbbG5p4QqmziFEV_MnS3Xt,0.168148875,0.019700515,4.37260274,-0.36855791
Properties of Solids and Liquids,5,Mechanical Properties of Solids,CS,PLircANNL68XuM0lTDQW2b2Snr9Mw70nB5,0.147668956,0.023983684,5.323287671,-0.46865279
Laws of Motion,1,JEE 2024: Newton&#39;s Laws of Motion | Class 11 | Unacademy JEE | Namo Kaul,Unacademy JEE,PLbu_fGT0MPsuNdAhq2AAQ0PRMJjrpJXMf,0.252377193,0.041689298,1.484931507,-0.039316484
Laws of Motion,2,Laws of Motion &amp; Friction,Eduniti - Physics by Mohit Goenka_IITKGP,PLjvx7xqdpePIZbs8Yf8Pi34ek7MMmj9rb,0.218968107,0.039074016,1.865753425,-0.090399497
Laws of Motion,3,Newton&#39;s Laws Of Motion JEE [Nurture] - Playlist | Class 11 Physics | JEE 2023 | Shreyas Sir | Vedantu JEE Enthuse English,Vedantu JEE English,PL24P3-cdGKKsTZuJ-_ftqvo1YySP6GO6q,0.284661722,0.030257944,2.531506849,-0.13839011
Laws of Motion,4,JEE: Newton&#39;s Laws of Motion - Playlist | Class 11 | Unacademy JEE | LIVE DAILY 3.0 | IIT JEE Physics | Namo Kaul,Unacademy JEE,PLbu_fGT0MPssbsntOuvMiWP4T5YFyacUa,0.193962145,0.027282809,2.690410959,-0.187512941
Laws of Motion,5,11 chap 5 Laws of Motion,Physics Wallah - Alakh Pandey,PLF_7kfnwLFCGcF1IhVgTiZ-Sf0pnKIOub,0.195827834,0.02383254,5.684931507,-0.488037139
Rotational Motion,1,Rotation [Nurture] - Playlist | Class 11 Physics | JEE | Shreyas Sir | Vedantu JEE English,Vedantu JEE English,PL24P3-cdGKKvltTRoFuGZhgA895RIzlgH,0.301416406,0.02780116,0.893150685,0.030081254
Rotational Motion,2,Rotational Motion,Eduniti - Physics by Mohit Goenka_IITKGP,PLjvx7xqdpePLNEB-VLtUhBnF5LZmoYapS,0.230023015,0.038459211,1.865753425,-0.086837682
Rotational Motion,3,JEE: Rotational Motion - Playlist | Class 11 | Unacademy JEE | LIVE DAILY 3.0 | IIT JEE Physics | Namo Kaul,Unacademy JEE,PLbu_fGT0MPsu_qoQ6bvWQOgL3ZIhlg3uy,0.15016748,0.028224582,2.454794521,-0.178808543
Rotational Motion,4,Jee Advanced Rotational Motion,Physics For IIT JEE by Rohit Mishra,PLxb0SzPSaqZ4RJbNiRcBafYSf_QOVQ6FD,0.245885,0.019467878,3.424657534,-0.246672064
Rotational Motion,5,11 chap 7 Rotational Motion,Physics Wallah - Alakh Pandey,PLF_7kfnwLFCHPUM8UWjv2uy4S08SCtjEh,0.151923277,0.02382419,5.454794521,-0.48039421
Thermodynamics,1,JEE 2024: Thermodynamics | Class 11 | Unacademy JEE | Monica Bedi,Unacademy JEE,PLbu_fGT0MPstYJF9z7cCiSje6DrIE-qOG,0.259249279,0.033652202,1.326027397,-0.025039391
Thermodynamics,2,JEE | Thermodynamics - Playlist | Class 11 | Unacademy JEE | JEE LIVE DAILY 3.0 | IIT JEE Chemistry | Ashwani Tyagi,Unacademy JEE,PLbu_fGT0MPsuQLlbeqMZNSy3is-0HmRXy,0.146265195,0.032156993,2.646575342,-0.19738622
Thermodynamics,3,Thermodynamics Class 11 IIT JEE - Playlist | Class 11 Chemistry | JEE 2022 | Flash Series | Wassim Sir | Vedantu JEE Enthuse English,Vedantu JEE English,PL24P3-cdGKKsoC6gc4ZUPQt4ihOLfymvY,0.273747397,0.028662829,3.21369863,-0.21122686
Thermodynamics,4,Thermodynamics - Playlist | Class 11 | Unacademy JEE | LIVE DAILY | IIT JEE Chemistry | Paaras Thakur,Unacademy JEE,PLbu_fGT0MPstHV4DZX9i-EEAD4WChWLW_,0.193984696,0.033014142,4.506849315,-0.366283217
Thermodynamics,5,11 Thermodynamics Physics chap 12,Physics Wallah - Alakh Pandey,PLF_7kfnwLFCFPfN4TGeJt1PQpJd3MG6Zz,0.182651593,0.027562156,5.194520548,-0.441742919
"Work, Energy, and Power",1,"Physics Class 11 Chapter 6 | Work, Energy and Power | Class 11, JEE, NEET","eSaral - JEE, NEET, Class 9 & 10 Preparation",PLMjEg73ogUEJjHDL-YugzVOni-mmk4z2k,0.217645918,0.030359412,1.293150685,-0.037959291
"Work, Energy, and Power",2,Work Energy Power,Eduniti - Physics by Mohit Goenka_IITKGP,PLjvx7xqdpePIfZAomhvUbS0q8QF69SzQu,0.224701964,0.042237548,1.865753425,-0.086810881
"Work, Energy, and Power",3,Work Power Energy JEE [Nurture] - Playlist | Class 11 Physics | JEE 2023 | Shreyas Sir | Vedantu JEE Enthuse English,Vedantu JEE English,PL24P3-cdGKKvyG7Aj-mggVahHPYyFBTz_,0.316227273,0.030536776,2.424657534,-0.11651782
"Work, Energy, and Power",4,"JEE: Work, Energy &amp; Power - Playlist | Class 11 | Unacademy JEE | LIVE DAILY 3.0 | IIT JEE Physics | Namo Kaul",Unacademy JEE,PLbu_fGT0MPsuznQ1dZ-wPoJrwndm_uztq,0.166831957,0.030473153,2.630136986,-0.189385937
"Work, Energy, and Power",5,11chap 6 | Work Energy and Power,Physics Wallah - Alakh Pandey,PLF_7kfnwLFCFS0k0WNHuTvjRxJFKQK5qr,0.141669563,0.023215782,5.578082192,-0.496615981
